STT,ITEM,VENDOR,DESCR,STATUS
834,3541461,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
835,3541462,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
843,3196362,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
844,3196363,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
845,3196365,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
846,3196368,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
847,3196370,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
854,3408174,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
855,3408176,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
858,3503165,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH
861,3503301,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,NGUNG KINH DOANH
862,3503302,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,NGUNG KINH DOANH
863,3503303,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,NGUNG KINH DOANH
