STT,ITEM,VENDOR,DESCR,STATUS,NH
400,3374927,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
403,3480412,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
404,3480413,11773,110-CTy CP SX Nhua Duy Tan,N,DD
405,3480422,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
409,3403272,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
410,3404154,11773,110-CTy CP SX Nhua Duy Tan,N,DD
411,3414888,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
414,3508978,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
420,3382457,12989,100-CTY TNHH SAMRAN,Y,DD
421,3487359,11773,110-CTy CP SX Nhua Duy Tan,N,DD
422,3487361,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
423,3487363,11773,110-CTy CP SX Nhua Duy Tan,N,DD
424,3487364,11773,110-CTy CP SX Nhua Duy Tan,N,DD
425,3487366,12989,100-CTY TNHH SAMRAN,Y,DD
426,3487674,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
427,3496126,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
428,3496127,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
431,3223203,12989,100-CTY TNHH SAMRAN,Y,DD
435,3288346,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
444,3372352,16964,100-CTy TNHH Tan Hop Thanh,N,DD
447,3459152,11773,110-CTy CP SX Nhua Duy Tan,N,DD
448,3528748,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),N,DD
449,3528749,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
450,3528750,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
467,3433469,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
468,3513945,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
469,3513947,11773,110-CTy CP SX Nhua Duy Tan,N,DD
470,3513972,11773,110-CTy CP SX Nhua Duy Tan,N,DD
479,3524413,11773,110-CTy CP SX Nhua Duy Tan,N,DD
480,3524414,11773,110-CTy CP SX Nhua Duy Tan,N,DD
481,3524415,11773,110-CTy CP SX Nhua Duy Tan,N,DD
482,3524416,11773,110-CTy CP SX Nhua Duy Tan,N,DD
491,3311633,10985,100-Cty TM&PT Cong Nghe Kolend,Y,DD
492,3311748,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
493,3312777,11773,110-CTy CP SX Nhua Duy Tan,N,DD
494,3312779,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
495,3312780,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
500,3458930,11773,110-CTy CP SX Nhua Duy Tan,N,DD
502,3446423,11773,110-CTy CP SX Nhua Duy Tan,N,DD
503,3446427,11773,110-CTy CP SX Nhua Duy Tan,N,DD
505,3081035,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
507,3556424,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
508,3535085,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
509,3556030,11773,110-CTy CP SX Nhua Duy Tan,N,DD
513,3392119,11011,100-CT TNHH SX Do Gia DungElmich-NR,Y,DD
514,3392121,11011,100-CT TNHH SX Do Gia DungElmich-NR,Y,DD
515,3392948,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
516,3392949,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
517,3392951,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
520,3371132,10985,100-Cty TM&PT Cong Nghe Kolend,Y,DD
521,3477798,18833,100-Cong ty CP TD Kim Duc -NR,Y,DD
522,3477799,18833,100-Cong ty CP TD Kim Duc -NR,Y,DD
523,3477800,18833,100-Cong ty CP TD Kim Duc -NR,Y,DD
529,3473447,18833,100-Cong ty CP TD Kim Duc -NR,Y,DD
538,3364612,16964,100-CTy TNHH Tan Hop Thanh,N,DD
540,3455364,11773,110-CTy CP SX Nhua Duy Tan,N,DD
541,3455946,11011,100-CT TNHH SX Do Gia DungElmich-NR,Y,DD
543,3406659,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
544,3406717,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
545,3406719,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
546,3406721,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
547,3406723,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
560,3507585,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
561,3419604,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
562,3422258,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
563,3422250,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
564,3519233,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
566,3392950,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
567,3517502,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
568,3390756,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
569,3476197,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
570,3011823,11773,110-CTy CP SX Nhua Duy Tan,N,DD
571,3509235,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
572,3438240,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
573,3436536,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
574,3434404,11773,110-CTy CP SX Nhua Duy Tan,N,DD
575,3552975,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
576,3368152,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
577,3537737,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),N,DD
578,3548188,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
579,3548189,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
580,3548191,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
581,3555041,11773,110-CTy CP SX Nhua Duy Tan,N,DD
582,3448563,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
583,3555042,11773,110-CTy CP SX Nhua Duy Tan,N,DD
584,3546767,11773,110-CTy CP SX Nhua Duy Tan,N,DD
585,3555040,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
586,3503276,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
587,3503277,11773,110-CTy CP SX Nhua Duy Tan,N,DD
588,3419131,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
589,3422582,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
591,3490338,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
592,3312781,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
593,3342478,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
594,3550806,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
595,3065101,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
596,3065131,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
604,3533214,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
605,3533215,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
608,3534020,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
609,3535084,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
610,3535595,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
611,3535596,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
612,3535608,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
617,3536397,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
618,3536398,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
619,3536399,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
620,3536400,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
621,3536484,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
622,3536485,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
623,3536486,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
626,3168725,11773,110-CTy CP SX Nhua Duy Tan,N,DD
627,3168726,11773,110-CTy CP SX Nhua Duy Tan,N,DD
628,3168727,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
629,3168728,11773,110-CTy CP SX Nhua Duy Tan,N,DD
630,3168729,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
631,3168730,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
632,3168732,11773,110-CTy CP SX Nhua Duy Tan,N,DD
636,3490335,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
637,3490337,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
