219,3383606,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH,DD
220,3383607,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH,DD
221,3383608,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH,DD
222,3383609,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH,DD
223,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH,DD
229,3012794,12989,100-CTY TNHH SAMRAN,DANG KINH DOANH,DD
230,3031987,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
231,3031988,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
232,3031989,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
233,3032106,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
236,3253175,12989,100-CTY TNHH SAMRAN,DANG KINH DOANH,DD
241,3457912,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
242,3457913,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
243,3457914,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
244,3457915,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
252,3279756,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
253,3279757,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
254,3325237,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
261,3444318,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
262,3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH,DD
266,3350607,16964,100-CTy TNHH Tan Hop Thanh,KHONG KINH DOANH,DD
267,3350608,16964,100-CTy TNHH Tan Hop Thanh,KHONG KINH DOANH,DD
269,3449943,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
273,3181800,13979,100-CTy TNHH Thuong Mai L.H,KHONG KINH DOANH,DD
274,3389078,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
275,3493317,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
276,3493318,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
279,3493423,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KINH DOANH,DD
280,3493424,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KINH DOANH,DD
281,3390753,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
282,3390754,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
283,3390755,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
290,3494100,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH,DD
