STT,ITEM,VENDOR,DESCR,STATUS
196,3555042,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
197,3546767,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
198,3555040,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
199,3503276,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
200,3503277,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
201,3419131,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
202,3422582,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
203,3490338,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
204,3312781,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
205,3342478,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
206,3065101,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
207,3065131,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
208,3533214,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
209,3533215,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
210,3535595,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
211,3535596,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
212,3536397,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
213,3536398,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
214,3536399,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
215,3536400,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
216,3168725,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
217,3168726,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
218,3168727,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
219,3168728,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
220,3168729,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
221,3168730,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
222,3168732,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
223,3490335,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
224,3490337,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
225,3518681,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
226,3518682,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
227,3518688,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
228,3519231,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
229,3519232,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
230,3450259,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
231,3450271,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
232,3362388,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
233,3011821,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
234,3011822,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
235,3012259,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
236,3012260,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
237,3012311,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
238,3281313,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
239,3281318,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
240,3281320,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
241,3281321,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
242,3281511,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
243,3282933,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
244,3328714,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
245,3509253,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
246,3460722,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
247,3460723,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
248,3400317,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
249,3400318,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
250,3400319,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
251,3413586,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
252,3422249,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
253,3422251,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
254,3422252,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
255,3422259,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
