STT,ITEM,VENDOR,DESCR,STATUS
290,3494100,13468,100-CTY TNHH SAMRAN-NR,
291,3494101,13468,100-CTY TNHH SAMRAN-NR,
292,3494102,13468,100-CTY TNHH SAMRAN-NR,
293,3494103,13468,100-CTY TNHH SAMRAN-NR,
38,3515339,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
320,3515340,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
321,3515341,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
322,3515342,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
323,3515343,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
368,3521131,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
624,3537271,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
676,3525114,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
677,3525115,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
681,3527980,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
14,3430008,16964,100-CTy TNHH Tan Hop Thanh,
15,3430009,16964,100-CTy TNHH Tan Hop Thanh,
16,3430010,16964,100-CTy TNHH Tan Hop Thanh,
20,3348369,16964,100-CTy TNHH Tan Hop Thanh,
43,3542949,16964,100-CTy TNHH Tan Hop Thanh,
44,3542950,16964,100-CTy TNHH Tan Hop Thanh,
72,3318296,16964,100-CTy TNHH Tan Hop Thanh,
107,3475382,16964,100-CTy TNHH Tan Hop Thanh,
108,3475383,16964,100-CTy TNHH Tan Hop Thanh,
109,3475665,16964,100-CTy TNHH Tan Hop Thanh,
130,3348367,16964,100-CTy TNHH Tan Hop Thanh,
131,3348368,16964,100-CTy TNHH Tan Hop Thanh,
156,3430007,16964,100-CTy TNHH Tan Hop Thanh,
178,3497612,16964,100-CTy TNHH Tan Hop Thanh,
212,3357483,16964,100-CTy TNHH Tan Hop Thanh,
214,3327143,16964,100-CTy TNHH Tan Hop Thanh,
215,3327144,16964,100-CTy TNHH Tan Hop Thanh,
266,3350607,16964,100-CTy TNHH Tan Hop Thanh,
267,3350608,16964,100-CTy TNHH Tan Hop Thanh,
269,3449943,16964,100-CTy TNHH Tan Hop Thanh,
300,3449947,16964,100-CTy TNHH Tan Hop Thanh,
307,3387567,16964,100-CTy TNHH Tan Hop Thanh,
308,3387568,16964,100-CTy TNHH Tan Hop Thanh,
309,3387569,16964,100-CTy TNHH Tan Hop Thanh,
356,3440906,16964,100-CTy TNHH Tan Hop Thanh,
398,3374925,16964,100-CTy TNHH Tan Hop Thanh,
399,3374926,16964,100-CTy TNHH Tan Hop Thanh,
400,3374927,16964,100-CTy TNHH Tan Hop Thanh,
444,3372352,16964,100-CTy TNHH Tan Hop Thanh,
467,3433469,16964,100-CTy TNHH Tan Hop Thanh,
492,3311748,16964,100-CTy TNHH Tan Hop Thanh,
538,3364612,16964,100-CTy TNHH Tan Hop Thanh,
543,3406659,16964,100-CTy TNHH Tan Hop Thanh,
658,3352971,16964,100-CTy TNHH Tan Hop Thanh,
659,3352974,16964,100-CTy TNHH Tan Hop Thanh,
704,3378042,16964,100-CTy TNHH Tan Hop Thanh,
718,3336962,16964,100-CTy TNHH Tan Hop Thanh,
