STT,ITEM,VENDOR,DESCR,STATUS
687,3244892,14337,130-Cty TNHH VINH TIEN,NGUNG KINH DOANH
271,3140316,14530,110-Co so Nguyen Van Sau,NGUNG KINH DOANH
245,3008472,14653,110-DNTN Dai Phat,NGUNG KINH DOANH
11,3518223,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
18,3543335,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
21,3550808,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
24,3541465,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
25,3541466,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
31,3518675,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
32,3518676,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
36,3536487,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
37,3528752,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
48,3554236,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
80,3501372,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
118,3538419,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
124,3557777,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
129,3534601,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
182,3533694,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
183,3533695,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
279,3493423,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
280,3493424,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
297,3538906,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
298,3538907,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
319,3506580,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
327,3531392,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
338,3523140,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
339,3523141,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
427,3496126,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
428,3496127,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
448,3528748,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
449,3528749,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
450,3528750,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
508,3535085,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
577,3537737,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
594,3550806,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
608,3534020,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
609,3535084,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
612,3535608,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
621,3536484,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
622,3536485,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
623,3536486,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
644,3518674,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
645,3518677,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
655,3557778,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
753,3543334,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
804,3504123,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
805,3504124,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
807,3537715,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
809,3538420,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
819,3538908,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
836,3541467,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),NGUNG KINH DOANH
96,3103653,15348,130-CTY CP SX Tra Hung Phat,DANG KINH DOANH
97,3103654,15348,130-CTY CP SX Tra Hung Phat,NGUNG KINH DOANH
196,3054535,15348,130-CTY CP SX Tra Hung Phat,NGUNG KINH DOANH
213,3097779,15348,130-CTY CP SX Tra Hung Phat,NGUNG KINH DOANH
255,3325998,15348,130-CTY CP SX Tra Hung Phat,NGUNG KINH DOANH
524,3084503,15348,130-CTY CP SX Tra Hung Phat,DANG KINH DOANH
525,3084504,15348,130-CTY CP SX Tra Hung Phat,DANG KINH DOANH
643,3509078,15348,130-CTY CP SX Tra Hung Phat,NGUNG KINH DOANH
534,3278389,16701,100-Cty CPTP Binh Tay-NR,DANG KINH DOANH
535,3278390,16701,100-Cty CPTP Binh Tay-NR,DANG KINH DOANH
224,3488561,17259,100-Cty TNHH Le Trung Thien-NR,NGUNG KINH DOANH
225,3488562,17259,100-Cty TNHH Le Trung Thien-NR,DANG KINH DOANH
226,3488563,17259,100-Cty TNHH Le Trung Thien-NR,DANG KINH DOANH
357,3440951,17259,100-Cty TNHH Le Trung Thien-NR,NGUNG KINH DOANH
358,3440952,17259,100-Cty TNHH Le Trung Thien-NR,DANG KINH DOANH
359,3440953,17259,100-Cty TNHH Le Trung Thien-NR,DANG KINH DOANH
360,3440955,17259,100-Cty TNHH Le Trung Thien-NR,NGUNG KINH DOANH
665,3454990,17638,100-Cty CP TP Va Do Uong Vinatea-NR,DANG KINH DOANH
666,3454991,17638,100-Cty CP TP Va Do Uong Vinatea-NR,DANG KINH DOANH
667,3454992,17638,100-Cty CP TP Va Do Uong Vinatea-NR,DANG KINH DOANH
